date,inputTokens,cachedInputTokens,outputTokens,reasoningOutputTokens,totalTokens,eventCount,sessionCount,filesCount,level,levelBasis,features
2026-01-01,0,0,0,0,0,0,0,0,0,quantile,
2026-01-02,16849,3676,7659,2450,30634,2,2,1,4,quantile,
2026-01-03,18237,3979,8290,2653,33159,3,1,1,4,quantile,
2026-01-04,19503,4255,8865,2837,35460,4,2,1,4,quantile,
2026-01-05,20631,4501,9378,3001,37511,1,1,1,4,quantile,
2026-01-06,0,0,0,0,0,0,0,0,0,quantile,
2026-01-07,22427,4893,10194,3263,40777,3,1,1,4,quantile,
2026-01-08,23076,5035,10489,3356,41956,4,2,1,4,quantile,plugins:2
2026-01-09,23550,5138,10705,3425,42818,1,1,1,4,quantile,
2026-01-10,23845,5202,10839,3468,43354,2,2,1,4,quantile,/fast mode:1
2026-01-11,0,0,0,0,0,0,0,0,0,quantile,
2026-01-12,18450,4025,8386,2684,33545,4,2,1,4,quantile,
2026-01-13,18211,3973,8278,2648,33110,1,1,1,4,quantile,
2026-01-14,0,0,0,0,0,0,0,0,0,quantile,
2026-01-15,17232,3760,7833,2506,31331,3,1,1,4,quantile,plugins:3
2026-01-16,0,0,0,0,0,0,0,0,0,quantile,
2026-01-17,15657,3416,7117,2277,28467,1,1,1,4,quantile,
2026-01-18,14678,3203,6672,2135,26688,2,2,1,4,quantile,
2026-01-19,13594,2966,6179,1978,24717,3,1,1,4,quantile,/fast mode:1
2026-01-20,12423,2710,5647,1807,22587,4,2,1,4,quantile,
2026-01-21,0,0,0,0,0,0,0,0,0,quantile,
2026-01-22,9895,2159,4498,1439,17991,2,2,1,3,quantile,plugins:1
2026-01-23,3134,684,1425,456,5699,3,1,1,1,quantile,
2026-01-24,2475,540,1125,360,4500,4,2,1,1,quantile,
2026-01-25,2970,648,1350,432,5400,1,1,1,1,quantile,
2026-01-26,0,0,0,0,0,0,0,0,0,quantile,
2026-01-27,0,0,0,0,0,0,0,0,0,quantile,
2026-01-28,4455,972,2025,648,8100,4,2,1,2,quantile,/fast mode:1
2026-01-29,4950,1080,2250,720,9000,1,1,1,2,quantile,plugins:2
2026-01-30,5445,1188,2475,792,9900,2,2,1,2,quantile,
2026-01-31,0,0,0,0,0,0,0,0,0,quantile,
2026-02-01,6435,1404,2925,936,11700,4,2,1,3,quantile,
2026-02-02,6930,1512,3150,1008,12600,1,1,1,3,quantile,
2026-02-03,1980,432,900,288,3600,2,2,1,1,quantile,
2026-02-04,2475,540,1125,360,4500,3,1,1,1,quantile,
2026-02-05,0,0,0,0,0,0,0,0,0,quantile,
2026-02-06,3465,756,1575,504,6300,1,1,1,1,quantile,/fast mode:1
2026-02-07,3960,864,1800,576,7200,2,2,1,1,quantile,
2026-02-08,4455,972,2025,648,8100,3,1,1,2,quantile,
2026-02-09,0,0,0,0,0,0,0,0,0,quantile,
2026-02-10,0,0,0,0,0,0,0,0,0,quantile,
2026-02-11,5940,1296,2700,864,10800,2,2,1,2,quantile,
2026-02-12,6435,1404,2925,936,11700,3,1,1,3,quantile,plugins:1
2026-02-13,6930,1512,3150,1008,12600,4,2,1,3,quantile,
2026-02-14,1980,432,900,288,3600,1,1,1,1,quantile,
2026-02-15,0,0,0,0,0,0,0,0,0,quantile,
2026-02-16,2970,648,1350,432,5400,3,1,1,1,quantile,
2026-02-17,3465,756,1575,504,6300,4,2,1,1,quantile,
2026-02-18,3960,864,1800,576,7200,1,1,1,1,quantile,
2026-02-19,4455,972,2025,648,8100,2,2,1,2,quantile,plugins:2
2026-02-20,0,0,0,0,0,0,0,0,0,quantile,
2026-02-21,5445,1188,2475,792,9900,4,2,1,2,quantile,
2026-02-22,0,0,0,0,0,0,0,0,0,quantile,
2026-02-23,6435,1404,2925,936,11700,2,2,1,3,quantile,
2026-02-24,6930,1512,3150,1008,12600,3,1,1,3,quantile,/fast mode:1
2026-02-25,0,0,0,0,0,0,0,0,0,quantile,
2026-02-26,2475,540,1125,360,4500,1,1,1,1,quantile,plugins:3
2026-02-27,3092,675,1405,449,5621,2,2,1,1,quantile,
2026-02-28,4178,912,1899,607,7596,3,1,1,2,quantile,
2026-03-01,5145,1122,2339,748,9354,4,2,1,2,quantile,
2026-03-02,0,0,0,0,0,0,0,0,0,quantile,
2026-03-03,6705,1463,3048,975,12191,2,2,1,3,quantile,
2026-03-04,7298,1592,3317,1062,13269,3,1,1,3,quantile,
2026-03-05,7768,1695,3531,1130,14124,4,2,1,3,quantile,/fast mode:1; plugins:1
2026-03-06,8121,1772,3692,1181,14766,1,1,1,3,quantile,
2026-03-07,0,0,0,0,0,0,0,0,0,quantile,
2026-03-08,3061,668,1391,445,5565,3,1,1,1,quantile,
2026-03-09,3113,679,1415,453,5660,4,2,1,1,quantile,
2026-03-10,3088,674,1404,448,5614,1,1,1,1,quantile,
2026-03-11,3465,756,1575,504,6300,2,2,1,1,quantile,
2026-03-12,0,0,0,0,0,0,0,0,0,quantile,
2026-03-13,4455,972,2025,648,8100,4,2,1,2,quantile,
2026-03-14,4950,1080,2250,720,9000,1,1,1,2,quantile,/fast mode:1
2026-03-15,5445,1188,2475,792,9900,2,2,1,2,quantile,
2026-03-16,5940,1296,2700,864,10800,3,1,1,2,quantile,
2026-03-17,0,0,0,0,0,0,0,0,0,quantile,
2026-03-18,6930,1512,3150,1008,12600,1,1,1,3,quantile,
2026-03-19,1980,432,900,288,3600,2,2,1,1,quantile,plugins:3
2026-03-20,0,0,0,0,0,0,0,0,0,quantile,
2026-03-21,2970,648,1350,432,5400,4,2,1,1,quantile,
2026-03-22,0,0,0,0,0,0,0,0,0,quantile,
2026-03-23,3960,864,1800,576,7200,2,2,1,1,quantile,/fast mode:1
2026-03-24,4455,972,2025,648,8100,3,1,1,2,quantile,
2026-03-25,4950,1080,2250,720,9000,4,2,1,2,quantile,
2026-03-26,5445,1188,2475,792,9900,1,1,1,2,quantile,plugins:1
2026-03-27,0,0,0,0,0,0,0,0,0,quantile,
2026-03-28,6435,1404,2925,936,11700,3,1,1,3,quantile,
2026-03-29,6930,1512,3150,1008,12600,4,2,1,3,quantile,
